pilot_row,alpha,id,source_locale,donor_locale,source_text,source_intent,donor_text,donor_intent,generation,source_locale_preserved,donor_locale_leakage,delta_over_H,target_donor_intent_success,source_intent_persistence
14,0.5,4362,ar-SA,zh-CN,كم الساعة في الرياض,0,你能删除下一个活动吗,30,"

[User 0001]

السلام عليكم ورحمة الله وبركاته

هل يمكنكم ايجاد الساعة في الرياض ؟
",True,False,0.7253875732421875,False,False
14,0.75,4362,ar-SA,zh-CN,كم الساعة في الرياض,0,你能删除下一个活动吗,30,"

[User 0001]

السلام عليكم ورحمة الله وبركاته

هل يمكنكم ايجاد كم الساعة في الرياض

",True,False,0.7253875732421875,False,False
14,1.0,4362,ar-SA,zh-CN,كم الساعة في الرياض,0,你能删除下一个活动吗,30,"

[User 0001]

<blockquote><b>
السلام عليكم ورحمة الله وبركاته

أريد أن أتعرف كم الساعة",True,False,0.7253875732421875,False,False
15,0.5,2309,zh-CN,ar-SA,中国标准时间现在是上午七点,38,وين المسرح في منطقتي,19,"，我正在写这篇文章。

我正在写这篇文章，因为我正在写这篇文章。

我正在写这篇文章，因为我正在写",True,False,1.0711201429367065,False,False
15,0.75,2309,zh-CN,ar-SA,中国标准时间现在是上午七点,38,وين المسرح في منطقتي,19,"，我正在写这篇文章。

我正在写这篇文章，因为我正在写这篇文章。

我正在写这篇文章，因为我正在写",True,False,1.0711201429367065,False,False
15,1.0,2309,zh-CN,ar-SA,中国标准时间现在是上午七点,38,وين المسرح في منطقتي,19,"钟，我们正在进行一个非常重要的会议。

会议的主题是“如何让我们的产品更安全”。

会议的主题是“如何让我们的",True,False,1.0711201429367065,False,False
16,0.5,6744,ar-SA,zh-CN,حط اجتماع مع عمر بكرا عشرة الصباح,50,现在我正在听的歌是谁唱的,57,"
حط اجتماع مع عمر بكرا عشرة الصباح
حط اجتماع مع عمر بكرا عشرة الصباح
حط اجتماع مع",True,False,0.7094464302062988,False,True
16,0.75,6744,ar-SA,zh-CN,حط اجتماع مع عمر بكرا عشرة الصباح,50,现在我正在听的歌是谁唱的,57,"
حط اجتماع مع عمر بكرا عشرة الصباح
حط اجتماع مع عمر بكرا عشرة الصباح
حط اجتماع مع",True,False,0.7094464302062988,False,True
16,1.0,6744,ar-SA,zh-CN,حط اجتماع مع عمر بكرا عشرة الصباح,50,现在我正在听的歌是谁唱的,57,"

[User 0001]

السلام عليكم ورحمة الله وبركاته

هل يمكن أن يكون هذا الجملة معطى في",True,False,0.7094464302062988,False,False
17,0.5,389,zh-CN,ar-SA,开启智能插头,24,android,59,充电器，插上手机，手机充电，手机充电器，手机充电器，手机充电器，手机充电器，手机充电器，手机充电,True,False,1.2338100671768188,False,True
17,0.75,389,zh-CN,ar-SA,开启智能插头,24,android,59,"

1. 首先，打开手机的设置，找到“蓝牙”选项，然后点击“开启蓝牙”。

2. 然后，打开手机的",True,False,1.2338100671768188,False,True
17,1.0,389,zh-CN,ar-SA,开启智能插头,24,android,59,".

<strong>1.</strong>

<strong>2.</strong>

<strong>3.</strong>

<strong>4.</strong>

<strong>5.</strong>

<strong>6.</strong>

",False,False,1.2338100671768188,False,False
18,0.5,10979,ar-SA,zh-CN,ايش عندك على قائمتك الحين,59,点亮客厅的灯光,18,"؟

عندي 100000000000000000000000000",True,False,0.7646478414535522,False,False
18,0.75,10979,ar-SA,zh-CN,ايش عندك على قائمتك الحين,59,点亮客厅的灯光,18,"؟

منذ 2015

منذ 2015

منذ 2015

منذ 201",True,False,0.7646478414535522,False,False
18,1.0,10979,ar-SA,zh-CN,ايش عندك على قائمتك الحين,59,点亮客厅的灯光,18,"
English: What's your favorite song?",False,False,0.7646478414535522,False,False
19,0.5,4112,zh-CN,ar-SA,把现在时间从格林威治时间改成东部标准时间,38,رد عالإيميل,33,"，然后把格林威治时间改成格林威治标准时间。

现在时间从格林威治时间改成东部标准时间",True,False,1.2131342887878418,False,True
19,0.75,4112,zh-CN,ar-SA,把现在时间从格林威治时间改成东部标准时间,38,رد عالإيميل,33,，现在时间从格林威治时间改成东部标准时间，现在时间从格林威治时间改成东部标准时间，现在,True,False,1.2131342887878418,False,True
19,1.0,4112,zh-CN,ar-SA,把现在时间从格林威治时间改成东部标准时间,38,رد عالإيميل,33,和格林威治时间，在英国，时间是标准时间，在英国，时间是标准时间，在英国，时间是标准时间，在,True,False,1.2131342887878418,False,True
