id,condition,source_locale,target_locale,source_text,source_intent,donor_text,donor_intent,generation,target_language_success,delta_over_H,source_intent_preserved,donor_intent_leakage
16563,alpha_075,ar-SA,zh-CN,تأكد من الايميل حقي,44,你们有送餐上门吗,3,قتا، حيث ان الكثير من الناس يبحثون عن هذه المعلومات، حيث ان الكثير من الناس يبحثون عن هذه المعلومات، حيث ان الكثير من الناس,False,1.2233763933181763,False,False
16563,random_zs,ar-SA,zh-CN,تأكد من الايميل حقي,44,你们有送餐上门吗,3," الخاص بك.
English: Check your email for your special offer.",False,1.2233763933181763,True,False
4313,alpha_0,zh-CN,ar-SA,广州明天下雨吗,13,راديو channels,36,"？

广州明天下雨吗？

广州明天下雨吗？

广州明天下雨吗？

广州明天下雨吗？

广州明",False,0.7152566909790039,True,False
4313,alpha_075,zh-CN,ar-SA,广州明天下雨吗,13,راديو channels,36,"

广州明天下雨吗

广州明天下雨吗

广州明天下雨吗

广州明天下雨吗

广州明天下雨吗

广州",False,0.7152566909790039,True,False
4313,random_zs,zh-CN,ar-SA,广州明天下雨吗,13,راديو channels,36,".

广州明天下雨吗.

广州明天下雨吗.

广州明天下雨吗.

广州明天下雨吗.

广州明",False,0.7152566909790039,True,False
13411,alpha_0,ar-SA,zh-CN,أرني إجابة هذه المسألة مائتان وستة وأربعون زائد ستمائة وأربعة وخمسون,39,我下次李医生的预约是什么时候,32,".

أرني إجابة هذه المسألة مائتان وستة وأربعون زائد ستمائة وأربعة وخمسون.

أ",False,0.9652129411697388,True,False
13411,alpha_075,ar-SA,zh-CN,أرني إجابة هذه المسألة مائتان وستة وأربعون زائد ستمائة وأربعة وخمسون,39,我下次李医生的预约是什么时候,32,"

أرني إجابة هذه المسألة مائتان وستة وأربعون زائد ستمائة وأربعة وخمسون

أرني",False,0.9652129411697388,True,False
13411,random_zs,ar-SA,zh-CN,أرني إجابة هذه المسألة مائتان وستة وأربعون زائد ستمائة وأربعة وخمسون,39,我下次李医生的预约是什么时候,32, زائد ستمائة وأربعة وخمسون زائد ستمائة وأربعة وخمسون زائد ستمائة وأربعة وخمسون زائد,False,0.9652129411697388,True,False
11536,alpha_0,zh-CN,ar-SA,将播客收藏夹添加到播放列表并开始播放,58,نكتة تضحك,25,"。

播客收藏夹是播客播放列表的最佳替代品。

播客收藏夹允许您将播客添加到播放列表，并从",False,0.6429346799850464,True,False
11536,alpha_075,zh-CN,ar-SA,将播客收藏夹添加到播放列表并开始播放,58,نكتة تضحك,25,"播客。

播客收藏夹是一个播客播放器，它可以帮助您管理您的播客收藏夹。

播客收藏夹可以帮助",False,0.6429346799850464,True,False
11536,random_zs,zh-CN,ar-SA,将播客收藏夹添加到播放列表并开始播放,58,نكتة تضحك,25,".

The app is designed to help you find the best podcasts to listen to.

The app is designed to help you find the best podcasts to listen to",False,0.6429346799850464,False,False
10177,alpha_0,ar-SA,zh-CN,كيف تطبخ المكبوس,9,请删除我的最爱的专辑列表,53," في المنزل؟

[User 0001]

كيف تطبخ المكبوس في المنزل؟

[User 0002]

",False,0.9657896757125854,True,False
10177,alpha_075,ar-SA,zh-CN,كيف تطبخ المكبوس,9,请删除我的最爱的专辑列表,53," في المنزل؟

[User 0001]

<b>كيف تطبخ المكبوس في المنزل؟</b>

<b>كيف تطبخ المكبوس",False,0.9657896757125854,True,False
10177,random_zs,ar-SA,zh-CN,كيف تطبخ المكبوس,9,请删除我的最爱的专辑列表,53,"?

[User 0001]

I'm trying to learn how to cook in Spanish and I'm having trouble with the verb """,False,0.9657896757125854,False,False
14304,alpha_0,zh-CN,ar-SA,比索和日元的汇率是多少,10,ماذا كان عيد ميلاد elvis presley's,49,"？

比索和日元之间的汇率是多少？

比索和日元之间的汇率是多少？

比索和日元之间的汇率",False,0.6992287039756775,True,False
14304,alpha_075,zh-CN,ar-SA,比索和日元的汇率是多少,10,ماذا كان عيد ميلاد elvis presley's,49,"؟

[User 0001]

<blockquote><b>
<b>
<b>
<b>
<b>
<b>
<b>
<b>
<b>
<b>
",True,0.6992287039756775,False,False
14304,random_zs,zh-CN,ar-SA,比索和日元的汇率是多少,10,ماذا كان عيد ميلاد elvis presley's,49,"?

[User 0001]

I'm trying to figure out how much a US dollar is worth in the Philippines. I've",False,0.6992287039756775,False,False
8674,alpha_0,ar-SA,zh-CN,وين بيكون الإجتماع حقي الساعة تسعة الصبح,32,静音十五分钟,46, في مقر الاتحاد العام للعمال في مدينة دمشق، وبدأ الاجتماع بـ 1000 عضو، وبدأ الاجتماع بـ,False,0.9175202250480652,False,False
8674,alpha_075,ar-SA,zh-CN,وين بيكون الإجتماع حقي الساعة تسعة الصبح,32,静音十五分钟,46,，我到场，我发现，我发现，我发现，我发现，我发现，我发现，我发现，我发现，我发现，,True,0.9175202250480652,False,False
8674,random_zs,ar-SA,zh-CN,وين بيكون الإجتماع حقي الساعة تسعة الصبح,32,静音十五分钟,46,"؟

[User 0001]

السلام عليكم ورحمة الله وبركاته

هل يمكن أن يكون الإجتماع في الساعة",False,0.9175202250480652,False,False
10080,alpha_0,zh-CN,ar-SA,一起煮肉丸吧,9,أريد أسمع المستبدة,45,"！

肉丸是家常菜，也是小朋友的最爱。

肉丸的制作方法有很多种，今天就给大家分享一种简单又好吃的肉",False,0.7516229748725891,True,False
10080,alpha_075,zh-CN,ar-SA,一起煮肉丸吧,9,أريد أسمع المستبدة,45,"

<strong>一、材料</strong>

<strong>二、做法</strong>

1、将猪肉切成小块，加入适量盐、胡椒粉、生",False,0.7516229748725891,True,False
10080,random_zs,zh-CN,ar-SA,一起煮肉丸吧,9,أريد أسمع المستبدة,45,"

<strong>1.</strong>

<strong>2.</strong>

<strong>3.</strong>

<strong>4.</strong>

<strong>5.</strong>

<strong>6.</strong>

<strong>",False,0.7516229748725891,False,False
8679,alpha_0,ar-SA,zh-CN,اليوم عيد الأضحى,32,给我订一张去上海的火车票,2, المبارك، وبالرغم من أننا في ظل جائحة كورونا، إلا أننا نستمر في الاحتفال بهذه المناسبة، و,False,0.9310240149497986,False,False
8679,alpha_075,ar-SA,zh-CN,اليوم عيد الأضحى,32,给我订一张去上海的火车票,2, 1439 هـ الموافق 15 يونيو 2018 م، وبالنسبة لمعظم المسلمين في العالم، فإن,False,0.9310240149497986,False,False
8679,random_zs,ar-SA,zh-CN,اليوم عيد الأضحى,32,给我订一张去上海的火车票,2,"

[User 0001]

<blockquote><b>
<b>
<b>
<b>
<b>
<b>
<b>
<b>
<b>
<b>
<b>",False,0.9310240149497986,False,False
7919,alpha_0,zh-CN,ar-SA,新的会议增加了李雷和韩梅梅作为与会者,50,هل سأحتاج إلى مظلة اليوم,13,"。

李雷是李雷的父亲，韩梅梅是李雷的母亲。

李雷和韩梅梅是李雷的父母。",False,0.6417856812477112,False,False
7919,alpha_075,zh-CN,ar-SA,新的会议增加了李雷和韩梅梅作为与会者,50,هل سأحتاج إلى مظلة اليوم,13,"

2019年12月10日，中国国家主席习近平在北京会见了美国总统特朗普。

据新华社报道，习近平",False,0.6417856812477112,False,False
7919,random_zs,zh-CN,ar-SA,新的会议增加了李雷和韩梅梅作为与会者,50,هل سأحتاج إلى مظلة اليوم,13,"

<strong>2019年12月12日，北京</strong> - 今天，中国移动通信集团有限公司（中国移动）宣布，在",False,0.6417856812477112,False,False
7767,alpha_0,ar-SA,zh-CN,الرابع من فبراير برج خليفة الثانية مساء,50,多莉帕顿的生日是几月几号,49, 2023، يعتبر هذا اليوم من الأيام التي تنتظرها الكثير من الأشخاص، حيث أنه يعتبر من الأيام التي تخص,False,0.7722393870353699,False,False
7767,alpha_075,ar-SA,zh-CN,الرابع من فبراير برج خليفة الثانية مساء,50,多莉帕顿的生日是几月几号,49,"

[User 0001]

السلام عليكم ورحمة الله وبركاته

أرجو منكم المساعدة في حل هذا المس",False,0.7722393870353699,False,False
7767,random_zs,ar-SA,zh-CN,الرابع من فبراير برج خليفة الثانية مساء,50,多莉帕顿的生日是几月几号,49," 2019

[User 0001]

<blockquote><b>الرابع من فبراير برج خليفة الثانية مساء 201",False,0.7722393870353699,True,False
16089,alpha_0,zh-CN,ar-SA,我过去的十分钟收到新邮件了吗,44,وش الجديد في الأخبار,22,"？

我过去十分钟收到新邮件了吗？

我过去十分钟收到新邮件了吗？

我过去十分钟收到新邮件了吗？

我过去十分钟",False,0.676651120185852,True,False
16089,alpha_075,zh-CN,ar-SA,我过去的十分钟收到新邮件了吗,44,وش الجديد في الأخبار,22,"؟

[User 0001]

I'm trying to learn how to use the past tense in French. I'm not sure if",True,0.676651120185852,False,False
16089,random_zs,zh-CN,ar-SA,我过去的十分钟收到新邮件了吗,44,وش الجديد في الأخبار,22,"?

[User 0001]

I'm trying to translate this sentence into English. I'm not sure how to translate ""my",False,0.676651120185852,False,False
1803,alpha_0,ar-SA,zh-CN,الفرق التي تلعب اليوم في الدوري السعودي,22,今天奥利我见了我的一个老同学,12, لكرة القدم بين فريق الهلال والزمالك، يعتبر من أهم المباريات التي ستقام في تاريخ كرة القدم في السعودية، حيث أن الهلال يعتبر,False,0.935032069683075,False,False
1803,alpha_075,ar-SA,zh-CN,الفرق التي تلعب اليوم في الدوري السعودي,22,今天奥利我见了我的一个老同学,12,，تعتبر من فرق الدوري السعودي المميزة، حيث أنها من فرق الدوري السعودي التي تملك فريقين في الدوري السعودي، حيث أنها من,False,0.935032069683075,False,False
1803,random_zs,ar-SA,zh-CN,الفرق التي تلعب اليوم في الدوري السعودي,22,今天奥利我见了我的一个老同学,12," 1999/2000

[User 0001]

<blockquote><b>الفرق التي تلعب اليوم في الدوري السعود",False,0.935032069683075,True,False
10699,alpha_0,zh-CN,ar-SA,提醒我清单上有什么项目,59,امسح الكل,53,没有完成，提醒我清单上有什么项目没有完成，提醒我清单上有什么项目没有完成，提醒我清单上有什么项目没有完成，提醒我,False,0.6558013558387756,False,False
10699,alpha_075,zh-CN,ar-SA,提醒我清单上有什么项目,59,امسح الكل,53," है।

<h2>1. <code>git</code></h2>

<code>git</code> 是一个开源的版本控制系统，它可以帮助你管理代码库。

",False,0.6558013558387756,False,False
10699,random_zs,zh-CN,ar-SA,提醒我清单上有什么项目,59,امسح الكل,53,"?

[User 0001]

Hi,

I'm trying to translate the following sentence:

""Remind me of what I have",False,0.6558013558387756,False,False
2271,alpha_0,ar-SA,zh-CN,لو سمحت شغل الأغاني الي شريتها وحطيتها في المفضلة,45,你能煮杯咖啡吗,56, اليها واخذتها من المفضلة اليها واخذتها من المفضلة اليها واخذتها من المفضلة اليها,False,0.9259412288665771,False,False
2271,alpha_075,ar-SA,zh-CN,لو سمحت شغل الأغاني الي شريتها وحطيتها في المفضلة,45,你能煮杯咖啡吗,56,"

لو سمحت شغل الأغاني الي شريتها وحطيتها في المفضلة

لو سمحت شغل الأغاني الي شري",False,0.9259412288665771,True,False
2271,random_zs,ar-SA,zh-CN,لو سمحت شغل الأغاني الي شريتها وحطيتها في المفضلة,45,你能煮杯咖啡吗,56,"

[User 0001]

<blockquote>
<b>
</b>
<b>
</b>
<b>
</b>
<b>
</b>
<b>
</b>
",False,0.9259412288665771,False,False
9317,alpha_0,zh-CN,ar-SA,现在打开收音机,36,ابي أعرف اذا وصلني أي email جديد من هتان,44,，你就会听到很多关于“大数据”的报道。大数据，是2012年被美国《福布斯》杂志评为,False,0.7786800265312195,False,False
9317,alpha_075,zh-CN,ar-SA,现在打开收音机,36,ابي أعرف اذا وصلني أي email جديد من هتان,44,"

听听这首歌

这首歌叫《我爱你》

这首歌是1983年

由张学友演唱

这首歌是",False,0.7786800265312195,False,False
9317,random_zs,zh-CN,ar-SA,现在打开收音机,36,ابي أعرف اذا وصلني أي email جديد من هتان,44,", 听听收音机, 听听收音机, 听听收音机, 听听收音机, 听听",False,0.7786800265312195,True,False
2594,alpha_0,ar-SA,zh-CN,خبرني آخر الأخبار حق البيئة,22,下午十二点三十你在十分钟内会有一个会议,32," في لبنان:

أعلنت وزارة البيئة والتنمية الزراعية، اليوم الأربعاء، عن إطلاق مشروع ""إدارة الموارد المائية",False,1.1867905855178833,True,False
2594,alpha_075,ar-SA,zh-CN,خبرني آخر الأخبار حق البيئة,22,下午十二点三十你在十分钟内会有一个会议,32, 2019-09-11 11:00:00 2019-09-11 ,False,1.1867905855178833,False,False
2594,random_zs,ar-SA,zh-CN,خبرني آخر الأخبار حق البيئة,22,下午十二点三十你在十分钟内会有一个会议,32, 2019-09-11 11:00:00 2019-09-11 ,False,1.1867905855178833,False,False
3020,alpha_0,zh-CN,ar-SA,三千浦有外卖吗,3,أنا غير راض عن محمد الرجاء مساعدتي,47,"？

有，但是不是我们熟悉的外卖，而是外卖的升级版，叫做“外卖+”。

外卖+就是外卖的",False,0.7552229166030884,False,False
3020,alpha_075,zh-CN,ar-SA,三千浦有外卖吗,3,أنا غير راض عن محمد الرجاء مساعدتي,47,"؟

[User 0001]

<blockquote>我係用外賣app叫左，但係佢話無，我問佢點解",False,0.7552229166030884,False,True
3020,random_zs,zh-CN,ar-SA,三千浦有外卖吗,3,أنا غير راض عن محمد الرجاء مساعدتي,47,"؟

[User 0001]

I'm looking for a place to eat in the area of 3000 Punggol",True,0.7552229166030884,False,False
7111,alpha_0,ar-SA,zh-CN,في أي وقت موعد الطبيب يوم الحادي والثلاثين من مارس,32,显示给我过去的一小时收到的任何电子邮件,44," 2023؟

<h2>ما هو موعد الطبيب يوم الحادي والثلاثين من مارس 2023؟</h2>

يوم",False,0.7879723906517029,True,False
7111,alpha_075,ar-SA,zh-CN,في أي وقت موعد الطبيب يوم الحادي والثلاثين من مارس,32,显示给我过去的一小时收到的任何电子邮件,44," 2023؟

<h2>في أي وقت موعد الطبيب يوم الحادي والثلاثين من مارس 2023؟</h2>

في",False,0.7879723906517029,True,False
7111,random_zs,ar-SA,zh-CN,في أي وقت موعد الطبيب يوم الحادي والثلاثين من مارس,32,显示给我过去的一小时收到的任何电子邮件,44," 2022, 10:00 am

<h2><strong>The 10th of March 2022</strong></h2>

<strong>",False,0.7879723906517029,False,False
2673,alpha_0,zh-CN,ar-SA,我记得为下一次的医生预约设置提醒闹钟吗,23,الموقع,26,"？

我记得为下一次的医生预约设置提醒闹钟吗？

我记得为下一次的医生预约设置提醒闹钟吗？

",False,0.6897302865982056,False,False
2673,alpha_075,zh-CN,ar-SA,我记得为下一次的医生预约设置提醒闹钟吗,23,الموقع,26,"؟

我记得为下一次的医生预约设置提醒闹钟吗？

我记得为下一次的医生预约设置提醒闹钟吗？

",False,0.6897302865982056,False,False
2673,random_zs,zh-CN,ar-SA,我记得为下一次的医生预约设置提醒闹钟吗,23,الموقع,26,"?

I remember setting a reminder for the next doctor's appointment.

我记得我曾经在你的房间里看到过你。

I remember I",False,0.6897302865982056,False,False
4492,alpha_0,ar-SA,zh-CN,ما هي أحدث إحصائيات معدلات الجرائم بالنسبة لمنطقتي,22,把这段音乐中的歌曲剪掉,28," كراسنودار و ساراتوف؟

[User 0001]

ما هي أحدث إحصائيات معدلات الجرائ",False,0.9970544576644897,False,False
4492,alpha_075,ar-SA,zh-CN,ما هي أحدث إحصائيات معدلات الجرائم بالنسبة لمنطقتي,22,把这段音乐中的歌曲剪掉,28,"؟

ما هي أحدث إحصائيات معدلات الجرائم بالنسبة لمنطقتي؟

ما هي أحدث إحصائيات معدلات",False,0.9970544576644897,True,False
4492,random_zs,ar-SA,zh-CN,ما هي أحدث إحصائيات معدلات الجرائم بالنسبة لمنطقتي,22,把这段音乐中的歌曲剪掉,28,"؟

ما هي أحدث إحصائيات معدلات الجرائم بالنسبة لمنطقتي؟

ما هي أحدث إحصائيات معدلات",False,0.9970544576644897,True,False
1774,alpha_0,zh-CN,ar-SA,关掉闹钟,52,احذف الفعالية اللي بعدها,30,"，我躺在床上，看着天花板，想着今天晚上要怎么跟妈妈说。

我妈是个很爱我的妈妈，她知道我有多爱",False,0.8133447766304016,False,False
1774,alpha_075,zh-CN,ar-SA,关掉闹钟,52,احذف الفعالية اللي بعدها,30,"

关掉闹钟

关掉闹钟

关掉闹钟

关掉闹钟

关掉闹钟

关掉闹钟

关",False,0.8133447766304016,True,False
1774,random_zs,zh-CN,ar-SA,关掉闹钟,52,احذف الفعالية اللي بعدها,30,".jpg

<strong>1.</strong>

<strong>2.</strong>

<strong>3.</strong>

<strong>4.</strong>

<strong>5.</strong>

<strong>6.</strong>",False,0.8133447766304016,False,False
8494,alpha_0,ar-SA,zh-CN,كيف بيكون جدولي اليوم,32,我查询了哪些清单,59,"؟

[User 0001]

كيف بيكون جدولي اليوم؟

 

 

 

 

 

 

 ",False,1.0572189092636108,False,False
8494,alpha_075,ar-SA,zh-CN,كيف بيكون جدولي اليوم,32,我查询了哪些清单,59,"，

أنتي و أنا و كل الناس في العالم

أنتي و أنا و كل الناس في العالم

أنتي و أنا و كل الناس",False,1.0572189092636108,False,False
8494,random_zs,ar-SA,zh-CN,كيف بيكون جدولي اليوم,32,我查询了哪些清单,59,", 100% real, 100% real, 100% real, 100% real, 10",False,1.0572189092636108,False,False
355,alpha_0,zh-CN,ar-SA,四月一日是星期几,0,شغلي أي أغنية لنبيل سيف,45,"？

1. 2019年4月1日星期几？

2. 2019年4月1日星期几",False,0.7517761588096619,False,False
355,alpha_075,zh-CN,ar-SA,四月一日是星期几,0,شغلي أي أغنية لنبيل سيف,45,"
English: April 1 is what day? April 1 is what day? April 1 is what day? April 1 is what day?",False,0.7517761588096619,False,False
355,random_zs,zh-CN,ar-SA,四月一日是星期几,0,شغلي أي أغنية لنبيل سيف,45, के दिन के लिए एक दिन के लिए एक दिन के लिए एक दिन के लिए एक दिन के लिए एक दिन के लिए एक दिन के लिए एक दिन के लिए,False,0.7517761588096619,False,False
7660,alpha_0,ar-SA,zh-CN,cancel كل مواعيدي بعد الساعة ثلاثة العصر اليوم وقل لي بالتفاصيل,30,今天多冷啊,13,"
English: cancel all my appointments after 3pm today and tell me the details",False,0.6979411244392395,True,False
7660,alpha_075,ar-SA,zh-CN,cancel كل مواعيدي بعد الساعة ثلاثة العصر اليوم وقل لي بالتفاصيل,30,今天多冷啊,13,"

[User 0001]

I have a meeting at 3pm today and I need to cancel all my meetings after that. Please tell",False,0.6979411244392395,False,False
7660,random_zs,ar-SA,zh-CN,cancel كل مواعيدي بعد الساعة ثلاثة العصر اليوم وقل لي بالتفاصيل,30,今天多冷啊,13,"

[User 0001]

I'm trying to translate the following sentence:

""cancel all my appointments after 3pm today""",False,0.6979411244392395,False,False
2960,alpha_0,zh-CN,ar-SA,启动扫地机器人,34,gilmore guys,58,"时，如果发现有障碍物，扫地机器人会自动绕过障碍物，并发出声音提示。

1、扫地机器人启动后，",False,0.9012005925178528,True,False
2960,alpha_075,zh-CN,ar-SA,启动扫地机器人,34,gilmore guys,58,"，扫地机器人会自动进入清洁模式，开始扫地。

扫地机器人会自动进入清洁模式，开始扫地。

扫地机器人",False,0.9012005925178528,True,False
2960,random_zs,zh-CN,ar-SA,启动扫地机器人,34,gilmore guys,58,"

[User 0001]

Hi,

I'm trying to get the robot to start when I press the button on the remote control",False,0.9012005925178528,False,False
12581,alpha_0,ar-SA,zh-CN,قطار اليوم,42,请在我的日历上设置三月二十五号会面我的提醒,50, هو قطار من نوع 10000000000000000000000000,False,0.9764230251312256,False,False
12581,alpha_075,ar-SA,zh-CN,قطار اليوم,42,请在我的日历上设置三月二十五号会面我的提醒,50, 100% 100% 100% 100% 100% 100% 1,False,0.9764230251312256,False,False
12581,random_zs,ar-SA,zh-CN,قطار اليوم,42,请在我的日历上设置三月二十五号会面我的提醒,50,".

[User 0001]

<b>
<b><b><b><b><b><b><b><b><b><b><b><b><b><b><b><b><b><b><b>",False,0.9764230251312256,False,False
13774,alpha_0,zh-CN,ar-SA,加利福尼亚离乔治亚州有多远,49,حقي عادي شغل,11,"？

加利福尼亚州离乔治亚州有多远？

加利福尼亚州离乔治亚州有多远？

加利",False,0.6932491064071655,True,False
13774,alpha_075,zh-CN,ar-SA,加利福尼亚离乔治亚州有多远,49,حقي عادي شغل,11,"؟

加利福尼亚州离乔治亚州有多远？

加利福尼亚州离乔治亚州有多远？

加利",False,0.6932491064071655,True,False
13774,random_zs,zh-CN,ar-SA,加利福尼亚离乔治亚州有多远,49,حقي عادي شغل,11,"؟

加利福尼亚州与乔治亚州之间有多远？

加利福尼亚州与乔治亚州之间有多远？

",False,0.6932491064071655,True,False
5006,alpha_0,ar-SA,zh-CN,ما هي الأوقات التي تم فيها ضبط المنبهات حقي,23,播放披头士,45,"بة السفر؟

[Answer 1]

منبهات الحقيبة السفر هي منبهات الحقيبة التي يتم ضبطها في الم",False,0.9821779131889343,False,False
5006,alpha_075,ar-SA,zh-CN,ما هي الأوقات التي تم فيها ضبط المنبهات حقي,23,播放披头士,45,"بة السفر؟

[User 0001]

السلام عليكم ورحمة الله وبركاته

هل يمكنني معرفة الأوقات",False,0.9821779131889343,False,False
5006,random_zs,ar-SA,zh-CN,ما هي الأوقات التي تم فيها ضبط المنبهات حقي,23,播放披头士,45,ðððððððððððððððððððððððððððððððð,False,0.9821779131889343,False,False
5134,alpha_0,zh-CN,ar-SA,从我的大乐队歌单找歌曲,45,ايش تعتقد حول المستقبل,12,"，然后在搜索栏输入歌曲名，然后点击搜索。

在搜索栏输入歌曲名，然后点击搜索。

在搜索栏输入歌曲名",False,0.6865600347518921,False,False
5134,alpha_075,zh-CN,ar-SA,从我的大乐队歌单找歌曲,45,ايش تعتقد حول المستقبل,12,"

* 1. <b>The Beatles</b> - <i>A Day in the Life</i>
  2. <b>The Beatles</b> - <i>I",False,0.6865600347518921,True,False
5134,random_zs,zh-CN,ar-SA,从我的大乐队歌单找歌曲,45,ايش تعتقد حول المستقبل,12," 2020-09-11 10:11:11

<h2>From My Heart</h2>

From My Heart is a",False,0.6865600347518921,False,False
14822,alpha_0,ar-SA,zh-CN,للمقارنة بين الناس,49,到市中心上班而不堵车最快的方法是什么,42, في جميع أنحاء العالم، فإنهم يختلفون في العديد من الأشياء، بما في ذلك الطريقة التي يرتدون بها الملابس.,False,1.0742807388305664,False,False
14822,alpha_075,ar-SA,zh-CN,للمقارنة بين الناس,49,到市中心上班而不堵车最快的方法是什么,42,"，我用一个词来形容：

<strong>“</strong><strong><strong><strong><strong><strong><strong><strong><strong><strong><strong><strong><strong><strong><strong><strong><strong><strong><strong><strong><strong>",True,1.0742807388305664,False,False
14822,random_zs,ar-SA,zh-CN,للمقارنة بين الناس,49,到市中心上班而不堵车最快的方法是什么,42,".

The <strong><em><u>first</u></em></strong> thing that I noticed was that the <strong><em><u>first</u></em></strong> thing that I noticed was that",False,1.0742807388305664,False,False
12800,alpha_0,zh-CN,ar-SA,公共图书馆在哪里,42,هل عندي اجتماع مبيعات اليوم,32,"可以找到这些信息？

公共图书馆在哪里可以找到这些信息？

公共图书馆在哪里可以找到这些信息？

公共图书馆在哪里可以找到这些信息？",False,0.8393396139144897,False,False
12800,alpha_075,zh-CN,ar-SA,公共图书馆在哪里,42,هل عندي اجتماع مبيعات اليوم,32," يقع في وسط مدينة طهران، يقع في منطقة سياحية، ويعتبر من أشهر الأماكن السياحية في طهران.

<h2><strong>",True,0.8393396139144897,False,False
12800,random_zs,zh-CN,ar-SA,公共图书馆在哪里,42,هل عندي اجتماع مبيعات اليوم,32,"
English: The 2019-2020 Annual Report of the National Health Commission of the People's Republic of China",False,0.8393396139144897,False,False
15857,alpha_0,ar-SA,zh-CN,تكفى أرسل لعنوان الإيميل الجديد اللي سجلته,33,播放电子音乐,45, في حسابك على الفيس بوك، وسيقوم الفيس بوك بإرسال رسالة إيميل إلى هذا الإيميل الجديد، وسيق,False,0.6804280281066895,False,False
15857,alpha_075,ar-SA,zh-CN,تكفى أرسل لعنوان الإيميل الجديد اللي سجلته,33,播放电子音乐,45," في حسابك على الفيس بوك.

تسجيل الدخول إلى حسابك على الفيس بوك

1. انقر على ""تسجيل الدخول""",False,0.6804280281066895,False,False
15857,random_zs,ar-SA,zh-CN,تكفى أرسل لعنوان الإيميل الجديد اللي سجلته,33,播放电子音乐,45,".
English: How to change your email address? How to change your email address? How to change your email address? How to change your email address",False,0.6804280281066895,False,False
15651,alpha_0,zh-CN,ar-SA,向客服发送报告,47,وهي أعلى قمة في العالم,49,"，客服会根据您的反馈，对产品进行改进。

1、点击“我的订单”

2、点击“售后服务”

3、点击",False,0.7537251114845276,True,False
15651,alpha_075,zh-CN,ar-SA,向客服发送报告,47,وهي أعلى قمة في العالم,49,"

1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1",False,0.7537251114845276,False,False
