pilot_row,alpha,id,source_locale,target_locale,source_text,source_intent,donor_text,donor_intent,generation,target_language_success,source_intent_preserved,donor_intent_leakage,delta_over_H
5,1.0,15075,zh-CN,ar-SA,olly 第一批美国人在哪里定居,49,احذف قائمة المهام حقي,53," کردند؟

olly

olly

olly

olly

olly

olly

olly

olly

olly

olly",True,False,False,0.7479462623596191
6,0.0,16924,ar-SA,zh-CN,الله يسعدك شوف اذا حسابي في gmail فيه ايميلات جديدة,44,我想知道必胜客做不做外送,3,"
الله يسعدك
الله يسعدك
الله يسعدك
الله يسعدك
الله يسعدك
الله يسعدك
الله",False,False,False,0.655247688293457
6,0.25,16924,ar-SA,zh-CN,الله يسعدك شوف اذا حسابي في gmail فيه ايميلات جديدة,44,我想知道必胜客做不做外送,3,"
الله يسعدك
الله يسعدك
الله يسعدك
الله يسعدك
الله يسعدك
الله يسعدك
الله",False,False,False,0.655247688293457
6,0.5,16924,ar-SA,zh-CN,الله يسعدك شوف اذا حسابي في gmail فيه ايميلات جديدة,44,我想知道必胜客做不做外送,3,"
الله يسعدك شوف اذا حسابي في gmail فيه ايميلات جديدة
الله يسعدك شوف اذا حسابي في gmail فيه ايم",False,True,False,0.655247688293457
6,0.75,16924,ar-SA,zh-CN,الله يسعدك شوف اذا حسابي في gmail فيه ايميلات جديدة,44,我想知道必胜客做不做外送,3," 2019

[User 0001]

<blockquote><b>الله يسعدك شوف اذا حسابي في gmail فيه ايميلات",False,True,False,0.655247688293457
6,1.0,16924,ar-SA,zh-CN,الله يسعدك شوف اذا حسابي في gmail فيه ايميلات جديدة,44,我想知道必胜客做不做外送,3,"，但如果我沒有在gmail中看到，那麼我將會在gmail中看到嗎？

我將會在gmail中看到嗎？

我",True,True,False,0.655247688293457
7,0.0,9962,zh-CN,ar-SA,做有嚼劲的意大利面最好的方法是什么,9,وش جدولي لليوم,32,"？

在意大利，我们有许多不同的方法来做意大利面。

在意大利，我们有许多不同的方法来做意大利面。

在意大利",False,False,False,0.6393662691116333
7,0.25,9962,zh-CN,ar-SA,做有嚼劲的意大利面最好的方法是什么,9,وش جدولي لليوم,32,"？

在意大利，我们通常会用大蒜、橄榄油、番茄酱、肉类、蔬菜和意大利面一起做意大利面。

",False,True,False,0.6393662691116333
7,0.5,9962,zh-CN,ar-SA,做有嚼劲的意大利面最好的方法是什么,9,وش جدولي لليوم,32,"？

在意大利，我们通常会用大蒜、橄榄油、新鲜的番茄、新鲜的肉类、新鲜的蔬菜和新鲜的意大利",False,True,False,0.6393662691116333
7,0.75,9962,zh-CN,ar-SA,做有嚼劲的意大利面最好的方法是什么,9,وش جدولي لليوم,32,"？

在意大利，我们通常会用橄榄油和一些新鲜的柠檬汁来做意大利面。

但是，如果我们想做一些更",False,True,False,0.6393662691116333
7,1.0,9962,zh-CN,ar-SA,做有嚼劲的意大利面最好的方法是什么,9,وش جدولي لليوم,32,"؟

الآن، إذا كنت تحب تناول الطعام، فمن المحتمل أنك قد سمعت عن ""الليستري"".

الليست",True,False,False,0.6393662691116333
8,0.0,884,ar-SA,zh-CN,حط منبه على ثمنية الصبح,48,请给在我的家人和朋友列表的韩梅梅发送一封电子邮件,33,، وامنح نفسك فرصة للراحة والاسترخاء، وامنح نفسك فرصة للراحة والاسترخاء، وامنح نفسك,False,False,False,0.8795922994613647
8,0.25,884,ar-SA,zh-CN,حط منبه على ثمنية الصبح,48,请给在我的家人和朋友列表的韩梅梅发送一封电子邮件,33,، وامنح نفسك فرصة للراحة والاسترخاء، وامنح نفسك فرصة للراحة والاسترخاء، وامنح نفسك,False,False,False,0.8795922994613647
8,0.5,884,ar-SA,zh-CN,حط منبه على ثمنية الصبح,48,请给在我的家人和朋友列表的韩梅梅发送一封电子邮件,33,"
حط منبه على ثمنية الصبح
حط منبه على ثمنية الصبح
حط منبه على ثمنية الص",False,False,False,0.8795922994613647
8,0.75,884,ar-SA,zh-CN,حط منبه على ثمنية الصبح,48,请给在我的家人和朋友列表的韩梅梅发送一封电子邮件,33,"

[User 0001]

السلام عليكم ورحمة الله وبركاته

هل يمكن أن أقول ""حط منبه على",False,False,False,0.8795922994613647
8,1.0,884,ar-SA,zh-CN,حط منبه على ثمنية الصبح,48,请给在我的家人和朋友列表的韩梅梅发送一封电子邮件,33,，然后在晚上睡觉，然后在早上醒来，然后在晚上睡觉，然后在早上醒来，然后在晚上睡觉，然后在早上醒来，然后,True,False,False,0.8795922994613647
9,0.0,8774,zh-CN,ar-SA,我的计划表七月七日完全地,32,اوصف المحور,26,"完成了。

我计划在七月七日完成我的计划表，但是我并没有完成。

我计划在七月七日完成我的计划表，但是",False,False,False,0.8992539048194885
9,0.25,8774,zh-CN,ar-SA,我的计划表七月七日完全地,32,اوصف المحور,26,"被占满了。

我计划在早上六点起床，然后在早上七点起床。

我计划在早上八点起床，然后在早上",False,False,False,0.8992539048194885
9,0.5,8774,zh-CN,ar-SA,我的计划表七月七日完全地,32,اوصف المحور,26,"被占满了。

我计划在七月七日早上六点半起床，然后在七点半起床。

我计划在七点半起床",False,False,False,0.8992539048194885
9,0.75,8774,zh-CN,ar-SA,我的计划表七月七日完全地,32,اوصف المحور,26," به روز رسانی شده است.

<strong>1.</strong> <strong>در مورد برنامه های آینده</strong>

<strong>2.</strong> <strong>در مورد برنامه های آینده</strong>",True,False,False,0.8992539048194885
9,1.0,8774,zh-CN,ar-SA,我的计划表七月七日完全地,32,اوصف المحور,26," به روز رسانی شده است.

در این پست، ما به شما خواهیم گفت که چگونه می توانید برنامه های خود را در برنامه های تلفن همراه خود تنظیم کنید",True,False,False,0.8992539048194885
10,0.0,2082,ar-SA,zh-CN,raise light drawing hall,18,你能帮我播放这个节目吗,36,"

[User 0001]

I have a 1999 2500 4x4 with a 5.",False,False,False,0.8006775379180908
10,0.25,2082,ar-SA,zh-CN,raise light drawing hall,18,你能帮我播放这个节目吗,36,"

[User 0001]

I have a 1999 2500hd with a 6.5 turbo diesel",False,False,False,0.8006775379180908
10,0.5,2082,ar-SA,zh-CN,raise light drawing hall,18,你能帮我播放这个节目吗,36,"

[User 0001]

I have a 1999 2500hd with a 6.5l.",False,False,False,0.8006775379180908
10,0.75,2082,ar-SA,zh-CN,raise light drawing hall,18,你能帮我播放这个节目吗,36,"的翻译

[User 0001]

Hi,

I'm trying to translate the following sentence:

""The light drawing hall is",True,False,False,0.8006775379180908
10,1.0,2082,ar-SA,zh-CN,raise light drawing hall,18,你能帮我播放这个节目吗,36,"的英文翻译
raise light drawing hall的英文翻译
raise light drawing hall的英文翻译
raise light drawing hall的英文翻译
raise light drawing hall",True,False,False,0.8006775379180908
11,0.0,10107,zh-CN,ar-SA,我需要一个炖排骨的食谱,9,أعطني دليل الطبخ,9,，因为我正在寻找一个炖排骨的食谱，因为我正在寻找一个炖排骨的食谱，因为我正在寻找一个炖排,False,True,True,0.6869320869445801
11,0.25,10107,zh-CN,ar-SA,我需要一个炖排骨的食谱,9,أعطني دليل الطبخ,9,，因为我正在寻找一个炖排骨的食谱，因为我正在寻找一个炖排骨的食谱，因为我正在寻找一个炖排,False,True,True,0.6869320869445801
11,0.5,10107,zh-CN,ar-SA,我需要一个炖排骨的食谱,9,أعطني دليل الطبخ,9,"，因为我正在寻找一个新的食谱。

我需要一个炖排骨的食谱，因为我正在寻找一个新的食谱。

我",False,True,True,0.6869320869445801
11,0.75,10107,zh-CN,ar-SA,我需要一个炖排骨的食谱,9,أعطني دليل الطبخ,9,".

I need a recipe for a stew of ribs.

我需要一个炖排骨的食谱.

I need a recipe for a stew of",False,True,True,0.6869320869445801
11,1.0,10107,zh-CN,ar-SA,我需要一个炖排骨的食谱,9,أعطني دليل الطبخ,9,".

I need a recipe for a stew of beef ribs.

أريد أن أجعل هذا.

I want to make this.

أريد أن",True,True,True,0.6869320869445801
12,0.0,1423,ar-SA,zh-CN,خبرني عن سلمان بن عبد العزيز آل سعود,22,他的苛责是正确的,12,، وزير الدفاع السعودي، الذي يعتبر من أبرز الشخصيات في المملكة العربية السعودية، حيث يعتبر من الشخصيات التي لها دور كبير في السياسة السعودية,False,False,False,0.8144882321357727
12,0.25,1423,ar-SA,zh-CN,خبرني عن سلمان بن عبد العزيز آل سعود,22,他的苛责是正确的,12,، هو أحد أبناء الملك سلمان بن عبد العزيز آل سعود، وهو من مواليد عام 1965م، وهو من أبناء الملك عبد العزيز,False,False,False,0.8144882321357727
12,0.5,1423,ar-SA,zh-CN,خبرني عن سلمان بن عبد العزيز آل سعود,22,他的苛责是正确的,12,، سلمان بن عبد العزيز آل سعود هو أحد أبرز الشخصيات السعودية، حيث يعتبر من الشخصيات المهمة في المملكة العربية السعودية، حيث أنه من,False,False,False,0.8144882321357727
12,0.75,1423,ar-SA,zh-CN,خبرني عن سلمان بن عبد العزيز آل سعود,22,他的苛责是正确的,12,"

[User 0001]

<b>خبرني عن سلمان بن عبد العزيز آل سعود</b>

<b>
الجزيرة - محمد عبد الله",False,True,False,0.8144882321357727
12,1.0,1423,ar-SA,zh-CN,خبرني عن سلمان بن عبد العزيز آل سعود,22,他的苛责是正确的,12,，الذي يعتبر من أبرز الشخصيات السياسية في السعودية، حيث أنه من الشخصيات التي تملك الكثير من النفوذ في المملكة العربية السعودية، حيث,False,False,False,0.8144882321357727
13,0.0,16766,zh-CN,ar-SA,检查新的电子邮件,44,سجل منبه لإجتماع المدرا الأسبوع الجاي يوم الثلوث,50,"，并使用电子邮件地址来创建新帐户。

1. 在您的电子邮件客户端中，检查新电子邮件。
2. 在电子邮件中，输入您的",False,True,False,0.7133772969245911
13,0.25,16766,zh-CN,ar-SA,检查新的电子邮件,44,سجل منبه لإجتماع المدرا الأسبوع الجاي يوم الثلوث,50,"地址，并确保它与您的帐户绑定。

如果您在注册时使用电子邮件地址，请确保您在注册时输入正确的电子邮件地址。

如果您",False,True,False,0.7133772969245911
13,0.5,16766,zh-CN,ar-SA,检查新的电子邮件,44,سجل منبه لإجتماع المدرا الأسبوع الجاي يوم الثلوث,50,"地址，并确保它与您的帐户绑定。

如果您在注册时使用的是旧的电子邮件地址，请检查您的旧电子邮件地址是否仍然有效。",False,True,False,0.7133772969245911
13,0.75,16766,zh-CN,ar-SA,检查新的电子邮件,44,سجل منبه لإجتماع المدرا الأسبوع الجاي يوم الثلوث,50," في Gmail باستخدام Google Chrome

Gmail هو تطبيق البريد الإلكتروني الأكثر شعبية في العالم. إنه يوفر لك كل ما تحتاجه من البريد الإلكتروني",True,True,False,0.7133772969245911
13,1.0,16766,zh-CN,ar-SA,检查新的电子邮件,44,سجل منبه لإجتماع المدرا الأسبوع الجاي يوم الثلوث,50," من خلال Google و Gmail

تطبيق Google و Gmail هو تطبيق رائع لإنشاء حساب Gmail و Google و الوصول إلى جميع خدمات Google.

تطبيق Google",True,False,False,0.7133772969245911
14,0.0,4362,ar-SA,zh-CN,كم الساعة في الرياض,0,你能删除下一个活动吗,30,"

[User 0001]

السلام عليكم ورحمة الله وبركاته

هل يمكنكم إعطاء لي الساعة في الرياض؟",False,True,False,0.8006702065467834
14,0.25,4362,ar-SA,zh-CN,كم الساعة في الرياض,0,你能删除下一个活动吗,30,"

[User 0001]

السلام عليكم ورحمة الله وبركاته

هل يمكنكم ايجاد الساعة في الرياض ؟
",False,False,False,0.8006702065467834
14,0.5,4362,ar-SA,zh-CN,كم الساعة في الرياض,0,你能删除下一个活动吗,30,"

[User 0001]

السلام عليكم ورحمة الله وبركاته

هل يمكنكم ايجاد الساعة في الرياض؟
",False,False,False,0.8006702065467834
14,0.75,4362,ar-SA,zh-CN,كم الساعة في الرياض,0,你能删除下一个活动吗,30,"

[User 0001]

<blockquote><b>
السلام عليكم ورحمة الله وبركاته

أريد أن أتعرف كم الساعة",False,False,False,0.8006702065467834
14,1.0,4362,ar-SA,zh-CN,كم الساعة في الرياض,0,你能删除下一个活动吗,30,，在2019年，中国经济总量达到10万亿元，成为世界第二大经济体，在2020年，,True,False,False,0.8006702065467834
15,0.0,2309,zh-CN,ar-SA,中国标准时间现在是上午七点,38,وين المسرح في منطقتي,19,"五十五分。

“你确定？”

“确定。”

“那我们现在就出发吧。”

“好。”

“你确定？”

",False,False,False,0.7178760170936584
15,0.25,2309,zh-CN,ar-SA,中国标准时间现在是上午七点,38,وين المسرح في منطقتي,19,"五十五分。

“你确定？”

“确定。”

“那我们现在就出发吧。”

“好。”

“你确定？”

",False,False,False,0.7178760170936584
15,0.5,2309,zh-CN,ar-SA,中国标准时间现在是上午七点,38,وين المسرح في منطقتي,19,"零五分。

“你确定？”

“确定。”

“那我们现在就出发吧。”

“好。”

“你确定？”

",False,False,False,0.7178760170936584
15,0.75,2309,zh-CN,ar-SA,中国标准时间现在是上午七点,38,وين المسرح في منطقتي,19, و نصف ساعة و نصف ساعة و نصف ساعة و نصف ساعة و نصف ساعة و نصف ساعة و نصف ساعة و نصف ساعة و نصف ساعة و نصف ساعة و نصف,True,True,False,0.7178760170936584
15,1.0,2309,zh-CN,ar-SA,中国标准时间现在是上午七点,38,وين المسرح في منطقتي,19, و نصف ساعة و نصف ساعة و نصف ساعة و نصف ساعة و نصف ساعة و نصف ساعة و نصف ساعة و نصف ساعة و نصف ساعة و نصف ساعة و نصف,True,True,False,0.7178760170936584
16,0.0,6744,ar-SA,zh-CN,حط اجتماع مع عمر بكرا عشرة الصباح,50,现在我正在听的歌是谁唱的,57, في بيتي في الشارع، وطلب مني أن أذهب إلى المدرسة، فذهبت إلى المدرسة، وطلبت مني أن أ,False,False,False,0.6602281928062439
16,0.25,6744,ar-SA,zh-CN,حط اجتماع مع عمر بكرا عشرة الصباح,50,现在我正在听的歌是谁唱的,57, في بيتي في شارع السيدة زينب، وطلب مني أن أذهب إلى بيت عمي في شارع السيدة زينب،,False,True,False,0.6602281928062439
16,0.5,6744,ar-SA,zh-CN,حط اجتماع مع عمر بكرا عشرة الصباح,50,现在我正在听的歌是谁唱的,57, في حارة السيدة زينب في حي السيدة زينب بمدينة الدار البيضاء، حيث كان عمر بكرا يبحث عن شاب,False,False,False,0.6602281928062439
16,0.75,6744,ar-SA,zh-CN,حط اجتماع مع عمر بكرا عشرة الصباح,50,现在我正在听的歌是谁唱的,57,，然后去吃早餐，然后去买东西，然后去买衣服，然后去买鞋子，然后去买化妆品，然后去买衣服，,True,True,False,0.6602281928062439
16,1.0,6744,ar-SA,zh-CN,حط اجتماع مع عمر بكرا عشرة الصباح,50,现在我正在听的歌是谁唱的,57,"，在 10:00 AM 10/10/2019

在 10:00 AM 10",True,True,False,0.6602281928062439
17,0.0,389,zh-CN,ar-SA,开启智能插头,24,android,59,"，让生活更智能

智能插头，让生活更智能

智能插头，让生活更智能

智能插头，让生活更智能",False,True,False,0.843430757522583
17,0.25,389,zh-CN,ar-SA,开启智能插头,24,android,59,"，让生活更智能

智能插头，让生活更智能

智能插头，让生活更智能

智能插头，让生活更智能",False,True,False,0.843430757522583
17,0.5,389,zh-CN,ar-SA,开启智能插头,24,android,59,，智能插头可以自动识别插头类型，自动识别插头类型，自动识别插头类型，自动识别插头类型，自动识别插,False,True,False,0.843430757522583
17,0.75,389,zh-CN,ar-SA,开启智能插头,24,android,59,"

智能插头是智能家居中非常重要的一个产品，它可以实现智能插头开关，智能插头开关可以实现智能插头开关，",False,True,False,0.843430757522583
17,1.0,389,zh-CN,ar-SA,开启智能插头,24,android,59,"

1. 首先打开智能插头，然后将手机靠近智能插头，手机会自动识别智能插头，然后智能插头会自动",False,True,False,0.843430757522583
18,0.0,10979,ar-SA,zh-CN,ايش عندك على قائمتك الحين,59,点亮客厅的灯光,18,"؟

عندي 100000000000000000000000000",False,False,False,0.6784031987190247
18,0.25,10979,ar-SA,zh-CN,ايش عندك على قائمتك الحين,59,点亮客厅的灯光,18,"؟

عندي 100000000000000000000000000",False,False,False,0.6784031987190247
18,0.5,10979,ar-SA,zh-CN,ايش عندك على قائمتك الحين,59,点亮客厅的灯光,18,"؟

[User 0001]

<blockquote><b>
<b>
<b>
<b>
<b>
<b>
<b>
<b>
<b>
<b>
",False,False,False,0.6784031987190247
18,0.75,10979,ar-SA,zh-CN,ايش عندك على قائمتك الحين,59,点亮客厅的灯光,18,"？

[User 0001]

<blockquote><b>
</b>
<b>
</b>
<b>
</b>
<b>
</b>
<b>
</b>
",False,False,False,0.6784031987190247
18,1.0,10979,ar-SA,zh-CN,ايش عندك على قائمتك الحين,59,点亮客厅的灯光,18,，我看到你，我看到你，我看到你，我看到你，我看到你，我看到你，我看到你，我看到你,True,False,False,0.6784031987190247
19,0.0,4112,zh-CN,ar-SA,把现在时间从格林威治时间改成东部标准时间,38,رد عالإيميل,33,"，就是把现在时间从12:00改成11:00。

把现在时间从格林威治时间改成东",False,True,False,0.7719061374664307
19,0.25,4112,zh-CN,ar-SA,把现在时间从格林威治时间改成东部标准时间,38,رد عالإيميل,33,"，然后把东部标准时间改成格林威治时间。

把现在时间从格林威治时间改成东部标准时间，",False,True,False,0.7719061374664307
19,0.5,4112,zh-CN,ar-SA,把现在时间从格林威治时间改成东部标准时间,38,رد عالإيميل,33,"，然后把东部标准时间改成格林威治时间。

把现在时间从格林威治时间改成东部标准时间，",False,True,False,0.7719061374664307
19,0.75,4112,zh-CN,ar-SA,把现在时间从格林威治时间改成东部标准时间,38,رد عالإيميل,33,"

[User 0001]

Hi,

I'm trying to convert the time from GMT to EST. I've tried the following",False,True,False,0.7719061374664307
19,1.0,4112,zh-CN,ar-SA,把现在时间从格林威治时间改成东部标准时间,38,رد عالإيميل,33,".

1. 1. 1. 1. 1. 1. 1. 1. 1. 1. ",False,False,False,0.7719061374664307
