example_id,concept_id,C_entity,C_country,C_continent,C_language,source_entity_id,source_country_id,provenance_url,factual_source,S_family,S_variant,text,C_split,S_split,generator,prompt_version,generation_seed
capital-005-declarative,capital-005,Guatemala City,Guatemala,North America,Spanish,http://www.wikidata.org/entity/Q1555,http://www.wikidata.org/entity/Q774,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q774,Wikidata SPARQL snapshot (2026-08-25),declarative,v1,"Guatemala City is in Guatemala, a country in North America where Spanish is an official language.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-005-question,capital-005,Guatemala City,Guatemala,North America,Spanish,http://www.wikidata.org/entity/Q1555,http://www.wikidata.org/entity/Q774,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q774,Wikidata SPARQL snapshot (2026-08-25),question,v1,"Which country, continent, and official language correspond to Guatemala City? Answer: Guatemala; North America; Spanish.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-005-paraphrase,capital-005,Guatemala City,Guatemala,North America,Spanish,http://www.wikidata.org/entity/Q1555,http://www.wikidata.org/entity/Q774,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q774,Wikidata SPARQL snapshot (2026-08-25),paraphrase,v1,For Guatemala City: country=Guatemala; continent=North America; official language=Spanish.,C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-005-formal,capital-005,Guatemala City,Guatemala,North America,Spanish,http://www.wikidata.org/entity/Q1555,http://www.wikidata.org/entity/Q774,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q774,Wikidata SPARQL snapshot (2026-08-25),formal,v1,Entity: Guatemala City. Country: Guatemala. Continent: North America. Official language: Spanish.,C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
capital-005-structured,capital-005,Guatemala City,Guatemala,North America,Spanish,http://www.wikidata.org/entity/Q1555,http://www.wikidata.org/entity/Q774,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q774,Wikidata SPARQL snapshot (2026-08-25),structured,v1,"{""continent"": ""North America"", ""country"": ""Guatemala"", ""entity"": ""Guatemala City"", ""language"": ""Spanish""}",C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
capital-007-declarative,capital-007,Tegucigalpa,Honduras,North America,Spanish,http://www.wikidata.org/entity/Q3238,http://www.wikidata.org/entity/Q783,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q783,Wikidata SPARQL snapshot (2026-08-25),declarative,v1,"Tegucigalpa is in Honduras, a country in North America where Spanish is an official language.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-007-question,capital-007,Tegucigalpa,Honduras,North America,Spanish,http://www.wikidata.org/entity/Q3238,http://www.wikidata.org/entity/Q783,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q783,Wikidata SPARQL snapshot (2026-08-25),question,v1,"Which country, continent, and official language correspond to Tegucigalpa? Answer: Honduras; North America; Spanish.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-007-paraphrase,capital-007,Tegucigalpa,Honduras,North America,Spanish,http://www.wikidata.org/entity/Q3238,http://www.wikidata.org/entity/Q783,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q783,Wikidata SPARQL snapshot (2026-08-25),paraphrase,v1,For Tegucigalpa: country=Honduras; continent=North America; official language=Spanish.,C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-007-formal,capital-007,Tegucigalpa,Honduras,North America,Spanish,http://www.wikidata.org/entity/Q3238,http://www.wikidata.org/entity/Q783,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q783,Wikidata SPARQL snapshot (2026-08-25),formal,v1,Entity: Tegucigalpa. Country: Honduras. Continent: North America. Official language: Spanish.,C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
capital-007-structured,capital-007,Tegucigalpa,Honduras,North America,Spanish,http://www.wikidata.org/entity/Q3238,http://www.wikidata.org/entity/Q783,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q783,Wikidata SPARQL snapshot (2026-08-25),structured,v1,"{""continent"": ""North America"", ""country"": ""Honduras"", ""entity"": ""Tegucigalpa"", ""language"": ""Spanish""}",C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
capital-009-declarative,capital-009,Santo Domingo,Dominican Republic,North America,Spanish,http://www.wikidata.org/entity/Q34820,http://www.wikidata.org/entity/Q786,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q786,Wikidata SPARQL snapshot (2026-08-25),declarative,v1,"Santo Domingo is in Dominican Republic, a country in North America where Spanish is an official language.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-009-question,capital-009,Santo Domingo,Dominican Republic,North America,Spanish,http://www.wikidata.org/entity/Q34820,http://www.wikidata.org/entity/Q786,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q786,Wikidata SPARQL snapshot (2026-08-25),question,v1,"Which country, continent, and official language correspond to Santo Domingo? Answer: Dominican Republic; North America; Spanish.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-009-paraphrase,capital-009,Santo Domingo,Dominican Republic,North America,Spanish,http://www.wikidata.org/entity/Q34820,http://www.wikidata.org/entity/Q786,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q786,Wikidata SPARQL snapshot (2026-08-25),paraphrase,v1,For Santo Domingo: country=Dominican Republic; continent=North America; official language=Spanish.,C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-009-formal,capital-009,Santo Domingo,Dominican Republic,North America,Spanish,http://www.wikidata.org/entity/Q34820,http://www.wikidata.org/entity/Q786,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q786,Wikidata SPARQL snapshot (2026-08-25),formal,v1,Entity: Santo Domingo. Country: Dominican Republic. Continent: North America. Official language: Spanish.,C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
capital-009-structured,capital-009,Santo Domingo,Dominican Republic,North America,Spanish,http://www.wikidata.org/entity/Q34820,http://www.wikidata.org/entity/Q786,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q786,Wikidata SPARQL snapshot (2026-08-25),structured,v1,"{""continent"": ""North America"", ""country"": ""Dominican Republic"", ""entity"": ""Santo Domingo"", ""language"": ""Spanish""}",C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
capital-010-declarative,capital-010,Port-au-Prince,Haiti,North America,French,http://www.wikidata.org/entity/Q34261,http://www.wikidata.org/entity/Q790,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q790,Wikidata SPARQL snapshot (2026-08-25),declarative,v1,"Port-au-Prince is in Haiti, a country in North America where French is an official language.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-010-question,capital-010,Port-au-Prince,Haiti,North America,French,http://www.wikidata.org/entity/Q34261,http://www.wikidata.org/entity/Q790,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q790,Wikidata SPARQL snapshot (2026-08-25),question,v1,"Which country, continent, and official language correspond to Port-au-Prince? Answer: Haiti; North America; French.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-010-paraphrase,capital-010,Port-au-Prince,Haiti,North America,French,http://www.wikidata.org/entity/Q34261,http://www.wikidata.org/entity/Q790,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q790,Wikidata SPARQL snapshot (2026-08-25),paraphrase,v1,For Port-au-Prince: country=Haiti; continent=North America; official language=French.,C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-010-formal,capital-010,Port-au-Prince,Haiti,North America,French,http://www.wikidata.org/entity/Q34261,http://www.wikidata.org/entity/Q790,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q790,Wikidata SPARQL snapshot (2026-08-25),formal,v1,Entity: Port-au-Prince. Country: Haiti. Continent: North America. Official language: French.,C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
capital-010-structured,capital-010,Port-au-Prince,Haiti,North America,French,http://www.wikidata.org/entity/Q34261,http://www.wikidata.org/entity/Q790,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q790,Wikidata SPARQL snapshot (2026-08-25),structured,v1,"{""continent"": ""North America"", ""country"": ""Haiti"", ""entity"": ""Port-au-Prince"", ""language"": ""French""}",C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
capital-012-declarative,capital-012,Tehran,Iran,Asia,Persian,http://www.wikidata.org/entity/Q3616,http://www.wikidata.org/entity/Q794,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q794,Wikidata SPARQL snapshot (2026-08-25),declarative,v1,"Tehran is in Iran, a country in Asia where Persian is an official language.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-012-question,capital-012,Tehran,Iran,Asia,Persian,http://www.wikidata.org/entity/Q3616,http://www.wikidata.org/entity/Q794,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q794,Wikidata SPARQL snapshot (2026-08-25),question,v1,"Which country, continent, and official language correspond to Tehran? Answer: Iran; Asia; Persian.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-012-paraphrase,capital-012,Tehran,Iran,Asia,Persian,http://www.wikidata.org/entity/Q3616,http://www.wikidata.org/entity/Q794,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q794,Wikidata SPARQL snapshot (2026-08-25),paraphrase,v1,For Tehran: country=Iran; continent=Asia; official language=Persian.,C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-012-formal,capital-012,Tehran,Iran,Asia,Persian,http://www.wikidata.org/entity/Q3616,http://www.wikidata.org/entity/Q794,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q794,Wikidata SPARQL snapshot (2026-08-25),formal,v1,Entity: Tehran. Country: Iran. Continent: Asia. Official language: Persian.,C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
capital-012-structured,capital-012,Tehran,Iran,Asia,Persian,http://www.wikidata.org/entity/Q3616,http://www.wikidata.org/entity/Q794,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q794,Wikidata SPARQL snapshot (2026-08-25),structured,v1,"{""continent"": ""Asia"", ""country"": ""Iran"", ""entity"": ""Tehran"", ""language"": ""Persian""}",C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
capital-013-declarative,capital-013,Baghdad,Iraq,Asia,Arabic,http://www.wikidata.org/entity/Q1530,http://www.wikidata.org/entity/Q796,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q796,Wikidata SPARQL snapshot (2026-08-25),declarative,v1,"Baghdad is in Iraq, a country in Asia where Arabic is an official language.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-013-question,capital-013,Baghdad,Iraq,Asia,Arabic,http://www.wikidata.org/entity/Q1530,http://www.wikidata.org/entity/Q796,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q796,Wikidata SPARQL snapshot (2026-08-25),question,v1,"Which country, continent, and official language correspond to Baghdad? Answer: Iraq; Asia; Arabic.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-013-paraphrase,capital-013,Baghdad,Iraq,Asia,Arabic,http://www.wikidata.org/entity/Q1530,http://www.wikidata.org/entity/Q796,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q796,Wikidata SPARQL snapshot (2026-08-25),paraphrase,v1,For Baghdad: country=Iraq; continent=Asia; official language=Arabic.,C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-013-formal,capital-013,Baghdad,Iraq,Asia,Arabic,http://www.wikidata.org/entity/Q1530,http://www.wikidata.org/entity/Q796,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q796,Wikidata SPARQL snapshot (2026-08-25),formal,v1,Entity: Baghdad. Country: Iraq. Continent: Asia. Official language: Arabic.,C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
capital-013-structured,capital-013,Baghdad,Iraq,Asia,Arabic,http://www.wikidata.org/entity/Q1530,http://www.wikidata.org/entity/Q796,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q796,Wikidata SPARQL snapshot (2026-08-25),structured,v1,"{""continent"": ""Asia"", ""country"": ""Iraq"", ""entity"": ""Baghdad"", ""language"": ""Arabic""}",C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
capital-014-declarative,capital-014,San José,Costa Rica,North America,Spanish,http://www.wikidata.org/entity/Q3070,http://www.wikidata.org/entity/Q800,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q800,Wikidata SPARQL snapshot (2026-08-25),declarative,v1,"San José is in Costa Rica, a country in North America where Spanish is an official language.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-014-question,capital-014,San José,Costa Rica,North America,Spanish,http://www.wikidata.org/entity/Q3070,http://www.wikidata.org/entity/Q800,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q800,Wikidata SPARQL snapshot (2026-08-25),question,v1,"Which country, continent, and official language correspond to San José? Answer: Costa Rica; North America; Spanish.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-014-paraphrase,capital-014,San José,Costa Rica,North America,Spanish,http://www.wikidata.org/entity/Q3070,http://www.wikidata.org/entity/Q800,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q800,Wikidata SPARQL snapshot (2026-08-25),paraphrase,v1,For San José: country=Costa Rica; continent=North America; official language=Spanish.,C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-014-formal,capital-014,San José,Costa Rica,North America,Spanish,http://www.wikidata.org/entity/Q3070,http://www.wikidata.org/entity/Q800,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q800,Wikidata SPARQL snapshot (2026-08-25),formal,v1,Entity: San José. Country: Costa Rica. Continent: North America. Official language: Spanish.,C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
capital-014-structured,capital-014,San José,Costa Rica,North America,Spanish,http://www.wikidata.org/entity/Q3070,http://www.wikidata.org/entity/Q800,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q800,Wikidata SPARQL snapshot (2026-08-25),structured,v1,"{""continent"": ""North America"", ""country"": ""Costa Rica"", ""entity"": ""San José"", ""language"": ""Spanish""}",C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
capital-018-declarative,capital-018,Amman,Jordan,Asia,Arabic,http://www.wikidata.org/entity/Q3805,http://www.wikidata.org/entity/Q810,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q810,Wikidata SPARQL snapshot (2026-08-25),declarative,v1,"Amman is in Jordan, a country in Asia where Arabic is an official language.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-018-question,capital-018,Amman,Jordan,Asia,Arabic,http://www.wikidata.org/entity/Q3805,http://www.wikidata.org/entity/Q810,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q810,Wikidata SPARQL snapshot (2026-08-25),question,v1,"Which country, continent, and official language correspond to Amman? Answer: Jordan; Asia; Arabic.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-018-paraphrase,capital-018,Amman,Jordan,Asia,Arabic,http://www.wikidata.org/entity/Q3805,http://www.wikidata.org/entity/Q810,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q810,Wikidata SPARQL snapshot (2026-08-25),paraphrase,v1,For Amman: country=Jordan; continent=Asia; official language=Arabic.,C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-018-formal,capital-018,Amman,Jordan,Asia,Arabic,http://www.wikidata.org/entity/Q3805,http://www.wikidata.org/entity/Q810,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q810,Wikidata SPARQL snapshot (2026-08-25),formal,v1,Entity: Amman. Country: Jordan. Continent: Asia. Official language: Arabic.,C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
capital-018-structured,capital-018,Amman,Jordan,Asia,Arabic,http://www.wikidata.org/entity/Q3805,http://www.wikidata.org/entity/Q810,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q810,Wikidata SPARQL snapshot (2026-08-25),structured,v1,"{""continent"": ""Asia"", ""country"": ""Jordan"", ""entity"": ""Amman"", ""language"": ""Arabic""}",C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
capital-019-declarative,capital-019,Managua,Nicaragua,North America,Spanish,http://www.wikidata.org/entity/Q3274,http://www.wikidata.org/entity/Q811,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q811,Wikidata SPARQL snapshot (2026-08-25),declarative,v1,"Managua is in Nicaragua, a country in North America where Spanish is an official language.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-019-question,capital-019,Managua,Nicaragua,North America,Spanish,http://www.wikidata.org/entity/Q3274,http://www.wikidata.org/entity/Q811,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q811,Wikidata SPARQL snapshot (2026-08-25),question,v1,"Which country, continent, and official language correspond to Managua? Answer: Nicaragua; North America; Spanish.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-019-paraphrase,capital-019,Managua,Nicaragua,North America,Spanish,http://www.wikidata.org/entity/Q3274,http://www.wikidata.org/entity/Q811,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q811,Wikidata SPARQL snapshot (2026-08-25),paraphrase,v1,For Managua: country=Nicaragua; continent=North America; official language=Spanish.,C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-019-formal,capital-019,Managua,Nicaragua,North America,Spanish,http://www.wikidata.org/entity/Q3274,http://www.wikidata.org/entity/Q811,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q811,Wikidata SPARQL snapshot (2026-08-25),formal,v1,Entity: Managua. Country: Nicaragua. Continent: North America. Official language: Spanish.,C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
capital-019-structured,capital-019,Managua,Nicaragua,North America,Spanish,http://www.wikidata.org/entity/Q3274,http://www.wikidata.org/entity/Q811,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q811,Wikidata SPARQL snapshot (2026-08-25),structured,v1,"{""continent"": ""North America"", ""country"": ""Nicaragua"", ""entity"": ""Managua"", ""language"": ""Spanish""}",C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
capital-021-declarative,capital-021,Kuwait City,Kuwait,Asia,Arabic,http://www.wikidata.org/entity/Q35178,http://www.wikidata.org/entity/Q817,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q817,Wikidata SPARQL snapshot (2026-08-25),declarative,v1,"Kuwait City is in Kuwait, a country in Asia where Arabic is an official language.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-021-question,capital-021,Kuwait City,Kuwait,Asia,Arabic,http://www.wikidata.org/entity/Q35178,http://www.wikidata.org/entity/Q817,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q817,Wikidata SPARQL snapshot (2026-08-25),question,v1,"Which country, continent, and official language correspond to Kuwait City? Answer: Kuwait; Asia; Arabic.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-021-paraphrase,capital-021,Kuwait City,Kuwait,Asia,Arabic,http://www.wikidata.org/entity/Q35178,http://www.wikidata.org/entity/Q817,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q817,Wikidata SPARQL snapshot (2026-08-25),paraphrase,v1,For Kuwait City: country=Kuwait; continent=Asia; official language=Arabic.,C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-021-formal,capital-021,Kuwait City,Kuwait,Asia,Arabic,http://www.wikidata.org/entity/Q35178,http://www.wikidata.org/entity/Q817,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q817,Wikidata SPARQL snapshot (2026-08-25),formal,v1,Entity: Kuwait City. Country: Kuwait. Continent: Asia. Official language: Arabic.,C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
capital-021-structured,capital-021,Kuwait City,Kuwait,Asia,Arabic,http://www.wikidata.org/entity/Q35178,http://www.wikidata.org/entity/Q817,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q817,Wikidata SPARQL snapshot (2026-08-25),structured,v1,"{""continent"": ""Asia"", ""country"": ""Kuwait"", ""entity"": ""Kuwait City"", ""language"": ""Arabic""}",C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
capital-023-declarative,capital-023,Beirut,Lebanon,Asia,Arabic,http://www.wikidata.org/entity/Q3820,http://www.wikidata.org/entity/Q822,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q822,Wikidata SPARQL snapshot (2026-08-25),declarative,v1,"Beirut is in Lebanon, a country in Asia where Arabic is an official language.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-023-question,capital-023,Beirut,Lebanon,Asia,Arabic,http://www.wikidata.org/entity/Q3820,http://www.wikidata.org/entity/Q822,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q822,Wikidata SPARQL snapshot (2026-08-25),question,v1,"Which country, continent, and official language correspond to Beirut? Answer: Lebanon; Asia; Arabic.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-023-paraphrase,capital-023,Beirut,Lebanon,Asia,Arabic,http://www.wikidata.org/entity/Q3820,http://www.wikidata.org/entity/Q822,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q822,Wikidata SPARQL snapshot (2026-08-25),paraphrase,v1,For Beirut: country=Lebanon; continent=Asia; official language=Arabic.,C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-023-formal,capital-023,Beirut,Lebanon,Asia,Arabic,http://www.wikidata.org/entity/Q3820,http://www.wikidata.org/entity/Q822,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q822,Wikidata SPARQL snapshot (2026-08-25),formal,v1,Entity: Beirut. Country: Lebanon. Continent: Asia. Official language: Arabic.,C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
capital-023-structured,capital-023,Beirut,Lebanon,Asia,Arabic,http://www.wikidata.org/entity/Q3820,http://www.wikidata.org/entity/Q822,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q822,Wikidata SPARQL snapshot (2026-08-25),structured,v1,"{""continent"": ""Asia"", ""country"": ""Lebanon"", ""entity"": ""Beirut"", ""language"": ""Arabic""}",C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
capital-024-declarative,capital-024,Malé,Maldives,Asia,Maldivian,http://www.wikidata.org/entity/Q9347,http://www.wikidata.org/entity/Q826,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q826,Wikidata SPARQL snapshot (2026-08-25),declarative,v1,"Malé is in Maldives, a country in Asia where Maldivian is an official language.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-024-question,capital-024,Malé,Maldives,Asia,Maldivian,http://www.wikidata.org/entity/Q9347,http://www.wikidata.org/entity/Q826,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q826,Wikidata SPARQL snapshot (2026-08-25),question,v1,"Which country, continent, and official language correspond to Malé? Answer: Maldives; Asia; Maldivian.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-024-paraphrase,capital-024,Malé,Maldives,Asia,Maldivian,http://www.wikidata.org/entity/Q9347,http://www.wikidata.org/entity/Q826,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q826,Wikidata SPARQL snapshot (2026-08-25),paraphrase,v1,For Malé: country=Maldives; continent=Asia; official language=Maldivian.,C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-024-formal,capital-024,Malé,Maldives,Asia,Maldivian,http://www.wikidata.org/entity/Q9347,http://www.wikidata.org/entity/Q826,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q826,Wikidata SPARQL snapshot (2026-08-25),formal,v1,Entity: Malé. Country: Maldives. Continent: Asia. Official language: Maldivian.,C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
